id_mission,biome,num_question,titre_mission,bonne_reponse,URL_bonne_reponse,mauvaise_reponse
F02,Milieu forestier,1,Gardiens de la lisière,Fauvette pitchou,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20pitchou.wav?alt=media&token=e29bb5a5-bb1c-46ba-8983-a7686ab45073,Merle noir
F02,Milieu forestier,2,Gardiens de la lisière,Fauvette babillarde,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20babillarde.wav?alt=media&token=0cd60a89-4729-4ea4-85cc-f86a908b7df9,Grive musicienne
F02,Milieu forestier,3,Gardiens de la lisière,Hirondelle rustique,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20rustique.mp3?alt=media&token=4308b652-3430-4da5-b643-af47c674f236,Rossignol philomèle
F02,Milieu forestier,4,Gardiens de la lisière,Geai des chênes,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGeai%20des%20ch%C3%AAnes.mp3?alt=media&token=5ab9fb24-ba74-4f8f-b53b-98e8db4b7242,Mésange noire
F02,Milieu forestier,5,Gardiens de la lisière,Sittelle torchepot,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSittelle%20torchepot.wav?alt=media&token=b01da162-e65b-42a1-82d6-6479f2b8cc7d,Chouette hulotte
F02,Milieu forestier,6,Gardiens de la lisière,Troglodyte mignon,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTroglodyte%20mignon.mp3?alt=media&token=d7679a42-c218-4c67-824e-5733024039b7,Pic noir
F02,Milieu forestier,7,Gardiens de la lisière,Roitelet huppé,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRoitelet%20hupp%C3%A9.wav?alt=media&token=615abdac-f1b0-45a3-a930-f175dcca5c25,Pic mar
F02,Milieu forestier,8,Gardiens de la lisière,Pouillot fitis,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPouillot%20fitis.wav?alt=media&token=a76a33a9-e013-4383-9d28-438983e13d88,Pic épeiche
F02,Milieu forestier,9,Gardiens de la lisière,Pie‑grièche écorcheur,,Pic vert
F02,Milieu forestier,10,Gardiens de la lisière,Pie‑grièche grise,,Pic épeichette
,,,,Rougequeue à front blanc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRougequeue%20%C3%A0%20front%20blanc.wav?alt=media&token=7dd9034b-39ee-4156-be17-dafaf85b0afd,Grimpereau des bois
,,,,Buse variable,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBuse%20variable.wav?alt=media&token=43f5724b-18ae-4bbe-8897-f8f2fca239ec,Accenteur mouchet
,,,,Busard des roseaux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBusard%20des%20roseaux.mp3?alt=media&token=4bcb17ba-dd17-4a0c-b714-6c3b94d5c1d3,Gros-bec casse-noyaux
,,,,Faucon hobereau,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFaucon%20hobereau.mp3?alt=media&token=04b4aaa0-c483-4553-bb7f-1aca87216e6f,Gobemouche gris
,,,,Mésange huppée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20hupp%C3%A9e.wav?alt=media&token=63defbc9-0606-4237-aafd-704de8007349,Gobemouche nain
,,,,,,Fauvette à tête noire
,,,,,,Fauvette des jardins
,,,,,,Rouge-gorge familier
,,,,,,Loriot d’Europe
,,,,,,Hibou moyen-duc
,,,,,,Geai des chênes
,,,,,,Roitelet à triple bandeau
,,,,,,Bouvreuil pivoine
,,,,,,Bruant proyer
,,,,,,Bruant jaune
,,,,,,Bruant ortolan
,,,,,,Pinson des arbres
,,,,,,Mésange charbonnière
,,,,,,Mésange bleue
,,,,,,Corneille noire
