id_mission,biome,num_question,titre_mission,bonne_reponse,URL_bonne_reponse,mauvaise_reponse
U02,Milieu urbain,1,Les champion de la haie,Accenteur mouchet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAccenteur%20mouchet.wav?alt=media&token=1bf3e94c-960d-4404-918c-829285d8c0f6,Merle noir
U02,Milieu urbain,2,Les champion de la haie,Bouvreuil pivoine,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBouvreuil%20pivoine.mp3?alt=media&token=58090830-6a86-4a48-bc7b-e4e268cb4e49,Grive musicienne
U02,Milieu urbain,3,Les champion de la haie,Gobemouche nain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGobemouche%20nain.wav?alt=media&token=f7948315-c3df-4879-88b7-31cd4cc88922,Rossignol philomèle
U02,Milieu urbain,4,Les champion de la haie,Gros-bec casse-noyaux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGros-bec%20casse-noyaux.mp3?alt=media&token=7bb76fc9-e3d1-4b9d-b15f-2dd5c8222463,Mésange charbonnière
U02,Milieu urbain,5,Les champion de la haie,Bouscarle de Cetti,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBouscarle%20de%20Cetti%20bis.wav?alt=media&token=fc398f45-5684-4d8f-abda-22fc767d963a,Mésange bleue
U02,Milieu urbain,6,Les champion de la haie,Pinson des arbres,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPinson%20des%20arbres.mp3?alt=media&token=e7eda18a-caf7-4f96-8913-82bac5607a82,Chardonneret élégant
U02,Milieu urbain,7,Les champion de la haie,Fauvette pitchou,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20pitchou.wav?alt=media&token=e29bb5a5-bb1c-46ba-8983-a7686ab45073,Serin cini
U02,Milieu urbain,8,Les champion de la haie,Fauvette babillarde,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20babillarde.wav?alt=media&token=0cd60a89-4729-4ea4-85cc-f86a908b7df9,Fauvette des jardins
U02,Milieu urbain,9,Les champion de la haie,Bruant jaune,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20jaune.wav?alt=media&token=bd2d2340-0374-4bd0-9f8b-3b4185da01dd,Bergeronnette grise
U02,Milieu urbain,10,Les champion de la haie,Bruant ortolan,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20ortolan.mp3?alt=media&token=8a03c7ce-baf9-4bb4-8c62-e167258ea073,Roitelet à triple bandeau
,,,,Bruant proyer,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20proyer.wav?alt=media&token=4e1321c4-80ad-4a13-86f2-e4d55943d68f,Pouillot siffleur
,,,,Troglodyte mignon,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTroglodyte%20mignon.mp3?alt=media&token=d7679a42-c218-4c67-824e-5733024039b7,Rougequeue à front blanc
,,,,Étourneau sansonnet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89tourneau%20sansonnet.wav?alt=media&token=3ebb8674-002e-400b-9f0e-c127b166c295,Tourterelle des bois
,,,,Pie-grièche grise,,Choucas des tours
,,,,Moineau domestique,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMoineau%20domestique.wav?alt=media&token=04910e7d-5238-434d-b33a-8bfa6181e242,Corbeau freux
,,,,,,Bergeronnette des ruisseaux
,,,,,,Canard colvert
,,,,,,Chevêche d’Athéna
,,,,,,Corneille noire
,,,,,,Faucon crécerelle
,,,,,,Faucon pèlerin
,,,,,,Fauvette mélanocéphale
,,,,,,Geai des chênes
,,,,,,Gobemouche gris
,,,,,,Grimpereau des jardins
,,,,,,Grive draine
,,,,,,Grive mauvis
,,,,,,Hirondelle rustique
,,,,,,Mésange huppée
,,,,,,Hirondelle de fenêtre
