id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse,id_oiseaux
F02,Milieu forestier,1,Tarier pâtre,248,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTarier%20p%C3%A2tre.mp3?alt=media&token=f018dbbc-3470-4b16-963f-6063db29cd3a,,248
F02,Milieu forestier,2,Traquet motteux,254,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTraquet%20motteux.mp3?alt=media&token=de7549d4-c2e7-4cc4-a2ef-5f28f8eaf050,,254
F02,Milieu forestier,3,Bouvreuil pivoine,31,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBouvreuil%20pivoine.mp3?alt=media&token=33370ea6-010f-4166-9cf5-ff4181217e0a,,31
F02,Milieu forestier,4,Gobemouche noir,110,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGobemouche%20noir.wav?alt=media&token=11285dab-70d4-4a70-ac7f-107dd4f9fa98,,110
F02,Milieu forestier,5,Loriot d'Europe,155,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLoriot%20d'Europe.mp3?alt=media&token=bdcf79cd-ab05-4e6c-be46-fdbc6bfb6d84,,155
F02,Milieu forestier,6,Grimpereau des bois,264,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrimpereau%20des%20bois.mp3?alt=media&token=67c76e90-704f-488e-b051-9394dd30425c,,264
F02,Milieu forestier,7,Mésange boréale,167,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20bor%C3%A9ale.wav?alt=media&token=63777e66-4060-42bb-b264-e647dfc61449,,167
F02,Milieu forestier,8,Épervier d'Europe,86,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89pervier%20d'Europe.wav?alt=media&token=b335fdea-098b-48e2-993b-0d8e88481c48,,86
F02,Milieu forestier,9,Hibou grand-duc,139,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHibou%20grand-duc.mp3?alt=media&token=73da178d-735c-40f9-8b1a-bbb837a66d4a,,139
F02,Milieu forestier,10,Sittelle torchepot,238,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSittelle%20torchepot.wav?alt=media&token=09d4180b-319f-4e14-896b-5e84072e551f,,238
F02,Milieu forestier,11,Rouge-gorge familier,230,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRouge-gorge%20familier%20song.mp3?alt=media&token=95b1b870-f68d-44eb-a04b-903609eadf8c,,230
F02,Milieu forestier,12,Buse variable,41,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBuse%20variable.wav?alt=media&token=6b8564e0-7c93-46c1-8ced-5a51104d2505,,41
F02,Milieu forestier,13,Geai des chênes,107,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGeai%20des%20ch%C3%AAnes.mp3?alt=media&token=2311b1fc-2e78-4187-9876-c351e8c733d4,,107
F02,Milieu forestier,14,Troglodyte mignon,256,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTroglodyte%20mignon.mp3?alt=media&token=5a901c82-f986-4297-8a98-2547c8112588,,256
F02,Milieu forestier,15,Roitelet à triple bandeau,225,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRoitelet%20%C3%A0%20triple%20bandeau.mp3?alt=media&token=809de241-5788-41b0-99cc-425b6b88ecd9,,225
,,,,,,Tarier pâtre,
,,,,,,Traquet motteux,
,,,,,,Bouvreuil pivoine,
,,,,,,Gobemouche noir,
,,,,,,Loriot d'Europe,
,,,,,,Grimpereau des bois,
,,,,,,Mésange boréale,
,,,,,,Épervier d'Europe,
,,,,,,Hibou grand-duc,
,,,,,,Sittelle torchepot,
,,,,,,Rouge-gorge familier,
,,,,,,Buse variable,
,,,,,,Geai des chênes,
,,,,,,Troglodyte mignon,
,,,,,,Roitelet à triple bandeau,
,,,,,,Gobemouche nain,
,,,,,,Roitelet huppé,
,,,,,,Grimpereau des jardins,
,,,,,,Mésange noire,
,,,,,,Tarier des prés,
,,,,,,Mésange à longue queue,
,,,,,,Mésange bleue,
,,,,,,Mésange charbonnière,
,,,,,,Mésange huppée,
,,,,,,Bec-croisé des sapins,
,,,,,,Colin de Virginie,
,,,,,,Coucou gris,
,,,,,,Engoulevent d'Europe,
,,,,,,Pic mar,
,,,,,,Pic vert,
