id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse
F03,Milieu forestier,1,Élanion blanc,84,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89lanion%20blanc.mp3?alt=media&token=64c86c8f-ac5c-40a5-a8c3-afd16f6ce99d,Élanion blanc
F03,Milieu forestier,2,Pic noir,196,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20noir.mp3?alt=media&token=220d21a4-28d1-4d95-b10f-bd4134d4f6a1,Pic noir
F03,Milieu forestier,3,Coucou gris,73,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCoucou%20gris.mp3?alt=media&token=cdadd005-4b86-40ca-887a-5098c411f07c,Coucou gris
F03,Milieu forestier,4,Petit-duc scops,189,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPetit-duc%20scops.mp3?alt=media&token=6de4b0ee-8daa-4f34-9881-c8fb39c19b56,Petit-duc scops
F03,Milieu forestier,5,Autour des palombes,9,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAutour%20des%20palombes.mp3?alt=media&token=ca7da22a-3fcf-43d7-8f56-e863332b836c,Autour des palombes
F03,Milieu forestier,6,Pic vert,197,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20vert.wav?alt=media&token=2e4a6de1-11e6-436d-8aab-d59a0281e934,Pic vert
F03,Milieu forestier,7,Buse variable,41,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBuse%20variable.wav?alt=media&token=6b8564e0-7c93-46c1-8ced-5a51104d2505,Buse variable
F03,Milieu forestier,8,Gobemouche noir,110,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGobemouche%20noir.wav?alt=media&token=11285dab-70d4-4a70-ac7f-107dd4f9fa98,Gobemouche noir
F03,Milieu forestier,9,Coucou geai,72,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCoucou%20geai.wav?alt=media&token=69150040-1504-4d33-97ce-93b567965b13,Mésange noire
F03,Milieu forestier,10,Pic épeiche,193,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20%C3%A9peiche.wav?alt=media&token=cb86e620-c820-46e3-a3dd-6559ce83e57a,Rossignol philomèle
,,,Épervier d’Europe,86,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89pervier%20d'Europe.wav?alt=media&token=b335fdea-098b-48e2-993b-0d8e88481c48,Troglodyte mignon
,,,Hibou moyen-duc,140,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHibou%20moyen-duc.wav?alt=media&token=79c16c6e-883c-45e2-8f4a-52f153928454,Accenteur mouchet
,,,Milan royal,173,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMilan%20royal.mp3?alt=media&token=4d0bd781-bdc6-4910-9fa9-97fd7830bcfa,Fauvette à tête noire
,,,Pic mar,195,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20mar.mp3?alt=media&token=4f2721bd-62fc-4157-b608-60bd7ccfbf82,Pouillot véloce
,,,Chouette hulotte,61,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChouette%20hulotte.wav?alt=media&token=635ff3b8-7dd1-4312-8355-5ba5225c576e,Pouillot siffleur
,,,,,,Pouillot fitis
,,,,,,Gobemouche gris
,,,,,,Fauvette grisette
,,,,,,Fauvette des jardins
,,,,,,Grimpereau des jardins
,,,,,,Rouge-gorge familier
,,,,,,Roitelet huppé
,,,,,,Gobemouche nain
,,,,,,Gros-bec casse-noyaux
,,,,,,Torcol fourmilier
,,,,,,Pic épeichette
,,,,,,Coucou gris
,,,,,,Mésange huppée
,,,,,,Pouillot de Bonelli
,,,,,,Loriot d’Europe
