id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse
F04,Milieu forestier,1,Engoulevent d’Europe,85,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FEngoulevent%20d'Europe.wav?alt=media&token=466205ed-50f2-4d37-ad8d-07fc8a02025f,Engoulevent d’Europe
F04,Milieu forestier,2,Chouette de Tengmalm,60,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChouette%20de%20Tengmalm.wav?alt=media&token=07606f07-a8b6-4286-bc4c-a888915a92dc,Chouette de Tengmalm
F04,Milieu forestier,3,Bécasse des bois,15,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9casse%20des%20bois.mp3?alt=media&token=0bbf27c0-7564-439f-903c-1d44f4f73428,Bécasse des bois
F04,Milieu forestier,4,Gélinotte des bois,265,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FG%C3%A9linotte%20des%20bois.mp3?alt=media&token=38f3b5d0-960b-4f8e-8457-78fd23bfca55,Gélinotte des bois
F04,Milieu forestier,5,Roitelet huppé,226,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRoitelet%20hupp%C3%A9.wav?alt=media&token=ec0d8180-22ce-49b7-8ee3-513fb98404d4,Roitelet huppé
F04,Milieu forestier,6,Mésange noire,170,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20noire.wav?alt=media&token=084a640f-5d2a-4590-b2c7-b88957dd4755,Mésange noire
F04,Milieu forestier,7,Mésange huppée,169,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20hupp%C3%A9e.wav?alt=media&token=73cca71e-5d6b-4672-ab6a-39ac9fb46f4a,Mésange huppée
F04,Milieu forestier,8,Grimpereau des jardins,123,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrimpereau%20des%20jardins.wav?alt=media&token=0b3d47b2-a061-4757-9d93-acd7875c7708,Grimpereau des jardins
F04,Milieu forestier,9,Gobemouche gris,108,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGobemouche%20gris.wav?alt=media&token=d3dc31a0-87b4-4458-84a4-8981617a4527,Pouillot siffleur
F04,Milieu forestier,10,Accenteur mouchet,2,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAccenteur%20mouchet.wav?alt=media&token=857c3c5d-5a7f-43d5-96ae-662404d9c6bf,Pouillot véloce
,,,Troglodyte mignon,256,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTroglodyte%20mignon.mp3?alt=media&token=5a901c82-f986-4297-8a98-2547c8112588,Gobemouche noir
,,,Fauvette grisette,97,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20grisette.mp3?alt=media&token=81e754c2-30cd-41e6-b9c7-42dd12037499,Rossignol philomèle
,,,Fauvette à tête noire,94,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20%C3%A0%20t%C3%AAte%20noire.mp3?alt=media&token=49f4762c-0f12-4cd5-b950-52a6d0899b4a,Fauvette des jardins
,,,Mésange nonnette,171,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20nonnette.wav?alt=media&token=482ef77d-40ca-4223-90ee-30fe8c2a8649,Pouillot fitis
,,,Bec-croisé des sapins,14,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBec-crois%C3%A9%20des%20sapins.wav?alt=media&token=17d6e710-cb51-4492-8b03-4f3feb3a12b6,Grimpereau des bois
,,,,,,Rouge-gorge familier
,,,,,,Gobemouche nain
,,,,,,Loriot d’Europe
,,,,,,Fauvette de Moltoni
,,,,,,Pic épeichette
,,,,,,Torcol fourmilier
,,,,,,Accenteur mouchet
,,,,,,Troglodyte mignon
,,,,,,Gobemouche gris
,,,,,,Fauvette à tête noire
,,,,,,Mésange nonnette
,,,,,,Fauvette grisette
,,,,,,Sittelle torchepot
