id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse
H04,Milieu humide,1,Courlis corlieu,75,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCourlis%20corlieu.wav?alt=media&token=dcd792a0-5c46-4f18-832f-e3d7d728041c,Courlis corlieu
H04,Milieu humide,2,Barge rousse,13,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBarge%20rousse.wav?alt=media&token=358782fb-d40a-497a-af0d-2303a3469a71,Barge rousse
H04,Milieu humide,3,Phalarope à bec étroit,190,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPhalarope%20%C3%A0%20bec%20%C3%A9troit.mp3?alt=media&token=19349201-c0a0-48f9-b303-22076d55d1d5,Phalarope à bec étroit
H04,Milieu humide,4,Bécasseau tacheté,17,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9casseau%20tachet%C3%A9.wav?alt=media&token=b8d42bcd-beef-44ee-a03c-9318c75fbeca,Bécasseau tacheté
H04,Milieu humide,5,Courlis cendré,74,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCourlis%20cendr%C3%A9.wav?alt=media&token=a5966cdc-3127-4de4-b2c0-07e4f7c9910a,Courlis cendré
H04,Milieu humide,6,Flamant rose,100,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFlamant%20rose.wav?alt=media&token=a3d79fa6-dc9b-4c6e-bc80-46ce7dc45bac,Flamant rose
H04,Milieu humide,7,Chevalier aboyeur,51,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20aboyeur.mp3?alt=media&token=8ead3cd8-1e6c-4eba-9038-e2c32c242c8a,Chevalier aboyeur
H04,Milieu humide,8,Chevalier arlequin,52,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20arlequin.mp3?alt=media&token=3ccda9bc-5137-46d2-a544-7f1fa9050d44,Chevalier arlequin
H04,Milieu humide,9,Ibis falcinelle,149,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FIbis%20falcinelle.wav?alt=media&token=273e5f83-5356-418d-a15b-a46d47ecacce,Ibis falcinelle
H04,Milieu humide,10,Butor étoilé,42,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FButor%20%C3%A9toil%C3%A9.wav?alt=media&token=56d4c19b-1e1a-4d6e-bc7f-804cd5249029,Butor étoilé
H04,Milieu humide,11,Aigrette garzette,3,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAigrette%20garzette.wav?alt=media&token=db1b1f6e-e796-48e1-abd2-d443ce076676,Aigrette garzette
H04,Milieu humide,12,Chevalier guignette,55,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20guignette.wav?alt=media&token=45d5009a-1bd4-4da9-84ec-fa41220b9a91,Chevalier guignette
H04,Milieu humide,13,Grande Aigrette,120,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrande%20Aigrette.wav?alt=media&token=a847277b-5ac1-4259-af80-079c0fc82523,Grande Aigrette
H04,Milieu humide,14,Héron cendré,135,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FH%C3%A9ron%20cendr%C3%A9.wav?alt=media&token=8a5e9942-eb6d-4caf-9a5f-2c14e96f3529,Héron cendré
H04,Milieu humide,15,Gallinule poule-d'eau,105,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGallinule%20poule-d'eau.wav?alt=media&token=d0d92bd0-4c24-4d18-b660-6507c775f40a,Gallinule poule-d'eau
,,,,,,Héron pourpré
,,,,,,Bécasseau sanderling
,,,,,,Bécasseau variable
,,,,,,Barge à queue noire
,,,,,,Chevalier arlequin
,,,,,,Chevalier cul-blanc
,,,,,,Chevalier sylvain
,,,,,,Combattant varié
,,,,,,Chevalier guignette
,,,,,,Héron garde-bœufs
,,,,,,Échasse blanche
,,,,,,Érismature rousse
,,,,,,Œdicnème criard
,,,,,,Avocette élégante
,,,,,,Bécasse des bois
