id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse,id_oiseaux
L04,Milieu littoral,1,Goéland argenté,111,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20argent%C3%A9.wav?alt=media&token=c803f7a1-cc3f-4c32-b3ff-00a251825f92,,111
L04,Milieu littoral,2,Goéland marin,115,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20marin.wav?alt=media&token=5fed6e49-3196-45fd-8edf-45248055dd2e,,115
L04,Milieu littoral,3,Goéland pontique,,lien manquant,,
L04,Milieu littoral,4,Goéland leucophée,,lien manquant,,
L04,Milieu littoral,5,Puffin yelkouan,,,,
L04,Milieu littoral,6,Océanite culblanc,180,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FOc%C3%A9anite%20culblanc.wav?alt=media&token=c769688e-3e3f-4949-ba36-e590ca2b7c13,,180
L04,Milieu littoral,7,Alouette hausse-col,8,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20hausse-col.wav?alt=media&token=80e0d8a2-63b1-4fad-9eb9-58321264889a,,
L04,Milieu littoral,8,Phalarope à bec étroit,190,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPhalarope%20%C3%A0%20bec%20%C3%A9troit.mp3?alt=media&token=19349201-c0a0-48f9-b303-22076d55d1d5,,190
L04,Milieu littoral,9,Tournepierre à collier,251,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTournepierre%20%C3%A0%20collier.wav?alt=media&token=91297d59-e88b-433d-9633-ad988b9fa660,,251
L04,Milieu littoral,10,Phragmite aquatique,191,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPhragmite%20aquatique%20(2).mp3?alt=media&token=8e66da01-75fa-4608-b024-7ba3a88723f7,,191
L04,Milieu littoral,11,Pluvier doré,213,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPluvier%20dor%C3%A9.wav?alt=media&token=4d12e985-3488-45a0-be61-3f8b8ad07292,,213
L04,Milieu littoral,12,Sterne de Dougall,243,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSterne%20de%20Dougall.wav?alt=media&token=c7c4a5b3-09c6-4b05-ab56-26f6a3100215,,243
L04,Milieu littoral,13,Sterne caspienne,241,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSterne%20caspienne.mp3?alt=media&token=19a3515b-ba9b-42c3-918c-3d9209f8e641,,241
L04,Milieu littoral,14,Guifette noire,131,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGuifette%20noire.wav?alt=media&token=b5d41376-7bc6-4780-af27-d4fabc9b0792,,131
L04,Milieu littoral,15,Chevalier gambette,54,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20gambette.wav?alt=media&token=e179d479-b714-4f83-86ff-8fe6006e79dd,,54
,,,,,,Goéland argenté,
,,,,,,Goéland marin,
,,,,,,Goéland pontique,
,,,,,,Goéland leucophée,
,,,,,,Puffin yelkouan,
,,,,,,Océanite culblanc,
,,,,,,Océanite tempête,
,,,,,,Phalarope à bec étroit,
,,,,,,Tournepierre à collier,
,,,,,,Phragmite aquatique,
,,,,,,Pluvier doré,
,,,,,,Sterne de Dougall,
,,,,,,Sterne caspienne,
,,,,,,Guifette noire,
,,,,,,Chevalier gambette,
,,,,,,Goéland brun,
,,,,,,Goéland cendré,
,,,,,,Goéland dominicain,
,,,,,,Sterne pierregarin,
,,,,,,Chevalier aboyeur,
,,,,,,Chevalier arlequin,
,,,,,,Chevalier cul-blanc,
,,,,,,Chevalier sylvain,
,,,,,,Sterne arctique,
,,,,,,Sterne naine,
,,,,,,Chevalier guignette,
,,,,,,Pluvier à collier interrompu,
,,,,,,Sterne caugek,
,,,,,,Guifette moustac,
,,,,,,Pluvier argenté,
