id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse,id_oiseaux
M01,Milieu montagnard,1,Niverolle alpine,,lien manquant,,
M01,Milieu montagnard,2,Merle à plastron,163,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMerle%20%C3%A0%20plastron.wav?alt=media&token=b0694b02-c619-4328-aa93-1fd342aad7d4,,163
M01,Milieu montagnard,3,Monticole bleu,177,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMonticole%20bleu.mp3?alt=media&token=50271d85-90c4-46cc-a5f2-56435c247520,,177
M01,Milieu montagnard,4,Traquet motteux,254,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTraquet%20motteux.mp3?alt=media&token=de7549d4-c2e7-4cc4-a2ef-5f28f8eaf050,,254
M01,Milieu montagnard,5,Rougequeue noir,232,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRougequeue%20noir.wav?alt=media&token=ad02d176-0679-41e7-99ae-d494918fa55a,,232
M01,Milieu montagnard,6,Grive litorne,125,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrive%20litorne.wav?alt=media&token=1fc5688e-3e12-4916-b8ba-c1a3ff4d3e67,,125
M01,Milieu montagnard,7,Pipit spioncelle,,lien manquant,,
M01,Milieu montagnard,8,Hirondelle de rochers,143,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20de%20rochers.wav?alt=media&token=aa9e3bc2-d170-41cd-bc88-06223ed3d0bf,,143
M01,Milieu montagnard,9,Tichodrome échelette,,,,
M01,Milieu montagnard,10,Perdrix bartavelle,,,,
M01,Milieu montagnard,11,Aigle royal,,,,
M01,Milieu montagnard,12,Hirondelle de fenêtre,141,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20de%20fen%C3%AAtre.wav?alt=media&token=9466c640-f47d-4d62-aa93-1d13c2347753,,141
M01,Milieu montagnard,13,Martinet noir,162,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMartinet%20noir.wav?alt=media&token=a4bfcaf3-13f2-4712-b015-e6d1fa497fc1,,162
M01,Milieu montagnard,14,Vautour moine,,,,
M01,Milieu montagnard,15,Chocard à bec jaune,58,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChocard%20%C3%A0%20bec%20jaune.mp3?alt=media&token=3c41de32-0ae4-4be6-b2e1-a40fc8b757f3,,58
,,,,,,Niverolle alpine,
,,,,,,Merle à plastron,
,,,,,,Monticole bleu,
,,,,,,Traquet motteux,
,,,,,,Rougequeue noir,
,,,,,,Grive litorne,
,,,,,,Pipit spioncelle,
,,,,,,Hirondelle de rochers,
,,,,,,Tichodrome échelette,
,,,,,,Perdrix bartavelle,
,,,,,,Aigle royal,
,,,,,,Hirondelle de fenêtre,
,,,,,,Martinet noir,
,,,,,,Vautour moine,
,,,,,,Chocard à bec jaune,
,,,,,,Grive draine,
,,,,,,Grive musicienne,
,,,,,,Merle noir,
,,,,,,Rougequeue à front blanc,
,,,,,,Faucon pèlerin,
,,,,,,Traquet oreillard,
,,,,,,Hirondelle de rivage,
,,,,,,Martinet à ventre blanc,
,,,,,,Hirondelle rousseline,
,,,,,,Accenteur alpin,
,,,,,,Autour des palombes,
,,,,,,Bec-croisé des sapins,
,,,,,,Chouette de Tengmalm,
,,,,,,Cincle plongeur,
,,,,,,Crave à bec rouge,
