id_mission,biome,num_question,bonne_reponse,URL_bonne_reponse,mauvaise_reponse
M03,Milieu montagnard,1,Faucon pèlerin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFaucon%20p%C3%A8lerin.wav?alt=media&token=be56ade6-ccb6-4bde-944b-ef4ad815f15d,Faucon crécerelle
M03,Milieu montagnard,2,Bondrée apivore,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBondr%C3%A9e%20apivore.mp3?alt=media&token=fffdf1ac-aa69-4b51-a785-30a2e94e4636,Élanion blanc
M03,Milieu montagnard,3,Aigle royal,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMilan%20royal.mp3?alt=media&token=4d0bd781-bdc6-4910-9fa9-97fd7830bcfa,Milan noir
M03,Milieu montagnard,4,Accenteur alpin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAccenteur%20alpin.mp3?alt=media&token=db731ed8-4ebe-499f-8f29-5fbc2809a060,Milan royal
M03,Milieu montagnard,5,Chocard à bec jaune,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChocard%20%C3%A0%20bec%20jaune.mp3?alt=media&token=3c41de32-0ae4-4be6-b2e1-a40fc8b757f3,Busard Saint-Martin
M03,Milieu montagnard,6,Choucas des tours,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChoucas%20des%20tours.mp3?alt=media&token=21bf9088-4055-437c-9eaa-71cc59d3486a,Buse variable
M03,Milieu montagnard,7,Martinet à ventre blanc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMartinet%20%C3%A0%20ventre%20blanc.wav?alt=media&token=63178b8b-49e3-402e-8ef5-cba651553ac3,Aigle botté
M03,Milieu montagnard,8,Hirondelle de rochers,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20de%20rochers.wav?alt=media&token=aa9e3bc2-d170-41cd-bc88-06223ed3d0bf,Circaète Jean-le-Blanc
M03,Milieu montagnard,9,Rougequeue noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRougequeue%20noir.wav?alt=media&token=ad02d176-0679-41e7-99ae-d494918fa55a,Grive musicienne
M03,Milieu montagnard,10,Merle à plastron,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMerle%20%C3%A0%20plastron.wav?alt=media&token=b0694b02-c619-4328-aa93-1fd342aad7d4,Grive draine
,,,Grand Corbeau,lien manquant,Rougegorge familier
,,,Crave à bec rouge,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCrave%20%C3%A0%20bec%20rouge.mp3?alt=media&token=999b58e4-c13a-4404-abf5-c32d64e6461c,Pinson des arbres
,,,Tichodrome échelette,lien manquant,Merle noir
,,,Venturon montagnard,lien manquant,Hirondelle rustique
,,,Niverolle alpine,lien manquant,Martinet noir
,,,,,Bergeronnette grise
,,,,,Pipit spioncelle
,,,,,Pipit farlouse
,,,,,Pipit des arbres
,,,,,Alouette lulu
,,,,,Alouette des champs
,,,,,Mésange huppée
,,,,,Mésange noire
,,,,,Roitelet huppé
,,,,,Roitelet triple-bandeau
,,,,,Tarin des aulnes
,,,,,Bouvreuil pivoine
,,,,,Grand-duc d’Europe
,,,,,Chevêchette d’Europe
,,,,,Chouette de Tengmalm
