id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse
M04,Milieu montagnard,1,Cassenoix moucheté,,lien manquant,Cassenoix moucheté
M04,Milieu montagnard,2,Mésange noire,170,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20noire.wav?alt=media&token=084a640f-5d2a-4590-b2c7-b88957dd4755,Mésange noire
M04,Milieu montagnard,3,Mésange huppée,169,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20hupp%C3%A9e.wav?alt=media&token=73cca71e-5d6b-4672-ab6a-39ac9fb46f4a,Mésange huppée
M04,Milieu montagnard,4,Mésange boréale,167,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20bor%C3%A9ale.wav?alt=media&token=63777e66-4060-42bb-b264-e647dfc61449,Mésange boréale
M04,Milieu montagnard,5,Roitelet huppé,226,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRoitelet%20hupp%C3%A9.wav?alt=media&token=ec0d8180-22ce-49b7-8ee3-513fb98404d4,Roitelet huppé
M04,Milieu montagnard,6,Roitelet à triple bandeau,225,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRoitelet%20%C3%A0%20triple%20bandeau.mp3?alt=media&token=809de241-5788-41b0-99cc-425b6b88ecd9,Roitelet à triple bandeau
M04,Milieu montagnard,7,Lagopède alpin,151,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLagop%C3%A8de%20alpin.mp3?alt=media&token=b93e42b3-74ca-4145-bd1a-2fbf6c9dbfae,Lagopède alpin
M04,Milieu montagnard,8,Chocard à bec jaune,58,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChocard%20%C3%A0%20bec%20jaune.mp3?alt=media&token=3c41de32-0ae4-4be6-b2e1-a40fc8b757f3,Chocard à bec jaune
M04,Milieu montagnard,9,Grand-duc d'Europe,,,Grand-duc d'Europe
M04,Milieu montagnard,10,Merle à plastron,163,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMerle%20%C3%A0%20plastron.wav?alt=media&token=b0694b02-c619-4328-aa93-1fd342aad7d4,Merle à plastron
M04,Milieu montagnard,11,Rougequeue noir,232,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRougequeue%20noir.wav?alt=media&token=ad02d176-0679-41e7-99ae-d494918fa55a,Rougequeue noir
M04,Milieu montagnard,12,Perdrix rouge,187,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPerdrix%20rouge.wav?alt=media&token=bcce70ef-541d-493a-90f6-38c62bbd42ab,Perdrix rouge
M04,Milieu montagnard,13,Circaète Jean-le-Blanc,,,Circaète Jean-le-Blanc
M04,Milieu montagnard,14,Moineau soulcie,176,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMoineau%20soulcie.wav?alt=media&token=d65ccf03-6118-4a8f-8f38-1824d325100a,Moineau soulcie
M04,Milieu montagnard,15,Tétras lyre,250,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FT%C3%A9tras%20lyre.wav?alt=media&token=c41f35b9-3822-4761-8b7b-cba105295f3c,Tétras lyre
,,,,,,Mésange à longue queue
,,,,,,Mésange bleue
,,,,,,Mésange charbonnière
,,,,,,Merle noir
,,,,,,Bec-croisé des sapins
,,,,,,Gobemouche noir
,,,,,,Hibou grand-duc
,,,,,,Pic mar
,,,,,,Rougequeue à front blanc
,,,,,,Cincle plongeur
,,,,,,Grive draine
,,,,,,Grive musicienne
,,,,,,Moineau friquet
,,,,,,Bouvreuil pivoine
,,,,,,Colin de Virginie
