id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse
U04,Milieu urbain,1,Grimpereau des jardins,123,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrimpereau%20des%20jardins.wav?alt=media&token=0b3d47b2-a061-4757-9d93-acd7875c7708,
U04,Milieu urbain,2,Moineau friquet,175,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMoineau%20friquet.wav?alt=media&token=f6f7638b-d98c-4351-9a3e-afea44c5f374,
U04,Milieu urbain,3,Mésange bleue,166,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20bleue.mp3?alt=media&token=0252dc16-d7ff-452a-8195-f00a0f24098b,
U04,Milieu urbain,4,Mésange charbonnière,168,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20charbonni%C3%A8re.wav?alt=media&token=57fe828c-750f-443e-a5c1-655cc8141398,
U04,Milieu urbain,5,Mésange à longue queue,165,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20%C3%A0%20longue%20queue.wav?alt=media&token=886baaca-2d21-4466-a434-132221f5bfc4,
U04,Milieu urbain,6,Perruche à collier,188,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPerruche%20%C3%A0%20collier.wav?alt=media&token=30281270-5945-4c3a-b63b-1f422ca1d252,
U04,Milieu urbain,7,Perruche ondulée,262,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPerruche%20ondul%C3%A9e.mp3?alt=media&token=4901b771-5835-4528-82a1-e335ceb220e2,
U04,Milieu urbain,8,Corbeau freux,68,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCorbeau%20freux.wav?alt=media&token=bee118fe-cff3-4c4c-8a06-62cea4709ab2,
U04,Milieu urbain,9,Verdier d'Europe,258,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FVerdier%20d'Europe.wav?alt=media&token=8e2869f9-251a-45fe-8ab8-26ad260d98c0,
U04,Milieu urbain,10,Bergeronnette grise,21,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBergeronnette%20grise.mp3?alt=media&token=a3a4a529-fcc4-4b46-aab2-5ccb19a62ac6,
U04,Milieu urbain,11,Pinson des arbres,205,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPinson%20des%20arbres.mp3?alt=media&token=90418a28-4997-498c-9836-1c3d138fd863,
U04,Milieu urbain,12,Goéland marin,115,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20marin.wav?alt=media&token=5fed6e49-3196-45fd-8edf-45248055dd2e,
U04,Milieu urbain,13,Mouette rieuse,178,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMouette%20rieuse.wav?alt=media&token=5c8f0699-ff51-4312-b08c-f275e40e773b,
U04,Milieu urbain,14,Corneille noire,71,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCorneille%20noire.wav?alt=media&token=698ae7c8-9bad-41de-a369-08052462597d,
U04,Milieu urbain,15,Serin cini,237,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSerin%20cini.mp3?alt=media&token=38c3552a-66b2-46b9-aa00-152313af481a,
,,,,,,Grimpereau des jardins
,,,,,,Moineau friquet
,,,,,,Mésange bleue
,,,,,,Mésange charbonnière
,,,,,,Mésange à longue queue
,,,,,,Perruche à collier
,,,,,,Perruche ondulée
,,,,,,Corbeau freux
,,,,,,Verdier d'Europe
,,,,,,Bergeronnette grise
,,,,,,Pinson des arbres
,,,,,,Goéland marin
,,,,,,Mouette rieuse
,,,,,,Corneille noire
,,,,,,Serin cini
,,,,,,Bergeronnette des ruisseaux
,,,,,,Mésange huppée
,,,,,,Mésange noire
,,,,,,Goéland argenté
,,,,,,Moineau domestique
,,,,,,Étourneau sansonnet
,,,,,,Alouette calandre
,,,,,,Alouette calandrelle
,,,,,,Chardonneret élégant
,,,,,,Grive draine
,,,,,,Grive musicienne
,,,,,,Huppe fasciée
,,,,,,Mésange boréale
,,,,,,Rougequeue à front blanc
,,,,,,Tarier des prés
