id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse
H03,Milieu humide,1,Marouette ponctuée,159,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMarouette%20ponctu%C3%A9e%20(2).wav?alt=media&token=8a270d1d-f66d-43db-b7bc-c397aa3ba83c,Rousserolle effarvatte
H03,Milieu humide,2,Râle des genêts,223,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FR%C3%A2le%20des%20gen%C3%AAts.wav?alt=media&token=e77e8eab-6fb0-4f95-9589-21a7d7600d03,Phragmite des joncs
H03,Milieu humide,3,Bécassine sourde,,,Rémiz penduline
H03,Milieu humide,4,Grèbe esclavon,,,Blongios nain
H03,Milieu humide,5,Fuligule morillon,103,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFuligule%20morillon.wav?alt=media&token=3d4790fc-de9f-4f8e-90ca-c7e5cbb6fbfa,Butor étoilé
H03,Milieu humide,6,Nette rousse,,,Bécassine des marais
H03,Milieu humide,7,Macreuse brune,,,Marouette ponctuée
H03,Milieu humide,8,Râle à bec jaune,,,Râle de genêts
H03,Milieu humide,9,Bécassine double,,,Panure à moustaches
H03,Milieu humide,10,Phragmite des joncs,192,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPhragmite%20des%20joncs.wav?alt=media&token=bc506b96-6092-4b9f-9655-3a921726b5b0,Grèbe castagneux
,,,Blongios nain,28,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBlongios%20nain.mp3?alt=media&token=093add2b-5685-4398-b2c0-d50e0f1bc39b,Grèbe huppé
,,,Butor étoilé,42,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FButor%20%C3%A9toil%C3%A9.wav?alt=media&token=56d4c19b-1e1a-4d6e-bc7f-804cd5249029,Grèbe à cou noir
,,,Rémiz penduline,224,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FR%C3%A9miz%20penduline.mp3?alt=media&token=ebb7922f-2f63-4760-8a1f-c7c5f0846f42,Grèbe esclavon
,,,Grèbe castagneux,121,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGr%C3%A8be%20castagneux.wav?alt=media&token=8cb4d6f1-5009-4a24-851f-0fd7dc9d3f5f,Fuligule morillon
,,,Panure à moustaches,185,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPanure%20%C3%A0%20moustaches.mp3?alt=media&token=c16c4b3d-84d1-4838-9fad-d6a879e0c27a,Fuligule milouin
,,,,,,Nette rousse
,,,,,,Canard siffleur
,,,,,,Canard pilet
,,,,,,Sarcelle d’hiver
,,,,,,Râle d’eau
,,,,,,Râle à bec jaune
,,,,,,Bécassine double
,,,,,,Gallinule poule-d’eau
,,,,,,Foulque macroule
,,,,,,Locustelle luscinioïde
,,,,,,Locustelle tachetée
,,,,,,Rousserolle turdoïde
,,,,,,Bouscarle de Cetti
,,,,,,Troglodyte mignon
,,,,,,Pipit farlouse
