Note,Phrase titre,sous-titre1,sous-titre2,sous-titre3,sous-titre4
0,C’est un début.,Tu viens d’écouter dix oiseaux… sans en reconnaître un seul. C’est fort.,"Si c’était un concert, t’avais les bouchons d’oreilles vissés.","Pas grave, la forêt a encore plein de secrets pour toi.",Chaque pro a commencé en entendant juste… du bruit.
1,Tu t’es lancé.,Un point sur dix ? C’est peut-être ton doigt qui a glissé.,Tu t’es fait embobiner par le premier piaillement venu.,"Un début, c’est toujours mieux que rien.",T’as chopé une note juste. La suite arrive !
2,Tu progresses déjà.,Si reconnaître un oiseau était un blind test… t’es encore au générique.,Tu coches des réponses au feeling ? Le feeling ment parfois.,L’oreille commence à s’ouvrir. Continue à tendre l’écoute.,C’est pas encore le chant parfait… mais ça vient.
3,L’oreille s’ouvre.,On sent que tu écoutes… mais peut-être pas les bons.,T’as pris trois bonnes notes au milieu d’un karaoké nature.,"3 sur 10, c’est un petit décollage ! Continue.","L’oreille s’affûte. C’est pas un sprint, c’est une immersion."
4,Ça vient doucement.,Pas mal. T’as évité de confondre un chant d’oiseau avec une alarme de voiture.,T’as capté quelques trucs… ou c’était un coup de chance bien placé ?,On sent que les sons commencent à te parler.,Les erreurs sont des repères. Bientôt t’entendras clair.
5,À mi-chemin !,"La moitié pile. C’est pas la cata, mais c’est pas le festival non plus.","Tu connais cinq oiseaux. L’autre moitié, ils t’ont snobé.","Cinq, c’est déjà une belle base. Tu construis ton oreille.",La nature est patiente. Sois-le aussi.
6,Tu tiens le rythme.,T’as capté l’idée. Faudrait juste baisser le volume des erreurs.,T’as évité la cacophonie. Pas encore le solo parfait.,Tu te rapproches du sans-faute. Ton oreille s’éveille.,"6 sur 10, c’est déjà une belle envolée."
7,Belle écoute !,"Presque parfait. À une note près, t’étais un pinson diplômé.",Tu connais bien la bande-son de la forêt… sauf quand elle chuchote.,"7, c’est un excellent score. Tu progresses vite.",Encore quelques écoutes et tu vas briller dans les feuillages.
8,C’est presque parfait.,Tu frôles la légende… mais un ou deux chanteurs t’ont échappé.,"T’as l’oreille affûtée. Mais parfois, le vent brouille les pistes.",Impressionnant. La forêt devient ton terrain de jeu.,Encore un effort et t’as le concert complet dans la tête.
9,Incroyable oreille !,Un seul oiseau t’a eu. Probablement en mode ninja.,"9/10, c’est presque trop. On dirait que tu triches avec la nature.",Tu frôles la perfection. Une plume de plus et c’est bon.,Ton oreille est affûtée comme un matin calme.
10,Tu es prêt(e) pour la nature.,10/10 ? Même les arbres te demandent des autographes.,"C’est pas un quiz, c’était ton terrain de jeu. Bravo.",Perfection totale. Tu viens d’entrer dans le panthéon des écouteurs discrets.,La nature t’a chanté ses secrets… et tu les as tous reconnus.
