id_mission,bonne_reponse,id_bonne_reponse,mauvaise_reponse
15 plus belles voix,merle noir,164,Merle à plastron
15 plus belles voix,loriot d’europe,155,Étourneau sansonnet
15 plus belles voix,tourterelle des bois,252,Tourterelle turque
15 plus belles voix,hirondelle rustique,145,Hirondelle de fenêtre
15 plus belles voix,coucou gris,73,Coucou geai
15 plus belles voix,huppe fascié,147,Étourneau sansonnet
15 plus belles voix,rougegorge familier,230,Étourneau sansonnet
15 plus belles voix,rossignol philomele,229,Gorgebleue à miroir
15 plus belles voix,grive musicienne,126,Grive draine
15 plus belles voix,chardonneret elegant,50,Bec-croisé des sapins
15 plus belles voix,alouette lulu,259,Alouette calandre
15 plus belles voix,troglodyte mignon,256,Bergeronnette des ruisseaux
15 plus belles voix,bouscarle de cetti,30,Échasse blanche
15 plus belles voix,pinson des arbre,205,Pinson du Nord
15 plus belles voix,serin cini,237,Alouette des champs
