id_mission,bonne_reponse,id_bonne_reponse,mauvaise_reponse
Les Dj de la nature,Butor étoilé,42,Rossignol philomèle
Les Dj de la nature,Engoulevent d'Europe,85,Alouette des champs
Les Dj de la nature,Râle des genêts,223,Alouette lulu
Les Dj de la nature,Râle d'eau,222,Grive musicienne
Les Dj de la nature,Locustelle tachetée,154,Grive draine
Les Dj de la nature,Locustelle luscinioïde,153,Merle noir
Les Dj de la nature,Rousserolle effarvatte,233,Fauvette à tête noire
Les Dj de la nature,Rousserolle verderolle,MANQUANT,Hypolaïs polyglotte
Les Dj de la nature,Phragmite des joncs,192,Pouillot véloce
Les Dj de la nature,Étourneau sansonnet,88,Pouillot fitis
Les Dj de la nature,Torcol fourmilier,MANQUANT,Serin cini
Les Dj de la nature,Huppe fasciée,147,Chardonneret élégant
Les Dj de la nature,Pic noir,196,Verdier d'Europe
Les Dj de la nature,Bécassine des marais,19,Bruant zizi
Les Dj de la nature,Caille des blés,43,Bruant proyer
,,,Bruant jaune
,,,Bruant ortolan
,,,Bergeronnette printanière
,,,Cisticole des joncs
,,,Sittelle torchepot
,,,Roitelet huppé
,,,Mésange bleue
,,,Mésange charbonnière
,,,Geai des chênes
,,,Coucou gris
,,,Œdicnème criard
,,,Courlis cendré
,,,Vanneau huppé
,,,Tétras lyre
,,,Pic épeiche
