id_mission,bonne_reponse,id_bonne_reponse,mauvaise_reponse
Les insomniaques,hibou grand duc,139,Œdicnème criard
Les insomniaques,hibou moyen duc,140,Bécasse des bois
Les insomniaques,petit duc scops,189,Bécassine des marais
Les insomniaques,chouette effraie,82,Marouette ponctuée
Les insomniaques,chouette hulotte,61,Marouette de Baillon
Les insomniaques,chouette de tengmalm,60,Marouette poussin
Les insomniaques,chouette cheveche,57,Blongios nain
Les insomniaques,chevechette d’europe,MANQUANT,Héron pourpré
Les insomniaques,engoulvent d’europe,85,Grèbe castagneux
Les insomniaques,rossignol philomele,229,Grèbe huppé
Les insomniaques,butor etoilé,42,Puffin des Baléares
Les insomniaques,locustelle tachetée,154,Océanite tempête
Les insomniaques,alouette lulu,259,Vanneau huppé
Les insomniaques,rougegorge familier,230,Courlis cendré
Les insomniaques,merle noir,164,Pluvier doré
,,,Phragmite des joncs
,,,Rousserolle verderolle
,,,Rousserolle effarvatte
,,,Locustelle luscinioïde
,,,Rougegorge familier
,,,Merle noir
,,,Grive musicienne
,,,Grive mauvis
,,,Héron cendré
,,,Gallinule poule-d’eau
,,,Foulque macroule
,,,Canard colvert
,,,Mouette rieuse
,,,Barge rousse
,,,Huîtrier pie
