id_mission,bonne_reponse,id_bonne_reponse,mauvaise_reponse
Les oiseux colorés,Guêpier d'Europe,129,Pinson des arbres
Les oiseux colorés,Rollier d'Europe,227,Linotte mélodieuse
Les oiseux colorés,Martin-pêcheur d'Europe,160,Tarin des aulnes
Les oiseux colorés,Loriot d'Europe,155,Verdier d'Europe
Les oiseux colorés,Huppe fasciée,147,Rougequeue à front blanc
Les oiseux colorés,Flamant rose,100,Rougequeue noir
Les oiseux colorés,Chardonneret élégant,50,Pie-grièche écorcheur
Les oiseux colorés,Bouvreuil pivoine,31,Geai des chênes
Les oiseux colorés,Mésange bleue,166,Mésange charbonnière
Les oiseux colorés,Pic vert,197,Mésange à longue queue
Les oiseux colorés,Pic épeiche,193,Roitelet huppé
Les oiseux colorés,Bergeronnette printanière,22,Roitelet triple-bandeau
Les oiseux colorés,Gorgebleue à miroir,116,Pic mar
Les oiseux colorés,Nette rousse,MANQUANT,Pic cendré
Les oiseux colorés,Tadorne de Belon,246,Pic épeichette
,,,Vanneau huppé
,,,Ibis falcinelle
,,,Ouette d'Égypte
,,,Canard colvert
,,,Canard souchet
,,,Sarcelle d'été
,,,Harle huppé
,,,Tichodrome échelette
,,,Bergeronnette des ruisseaux
,,,Pie-grièche à tête rousse
,,,Fauvette mélanocéphale
,,,Traquet motteux
,,,Tarier pâtre
,,,Grosbec casse-noyaux
,,,Perruche à collier
