Nom_scientifique,Nom_anglais,Nom_français,Audio_URL,Type,droits,Lisence,annotation,Habitat_principal,Habitat_secondaire
Prunella modularis,Dunnock,Accenteur mouchet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAccenteur%20mouchet.wav?alt=media&token=1bf3e94c-960d-4404-918c-829285d8c0f6,,,,pas grave si je n'ai pas,Milieu forestier,Milieu agricole
Hieraaetus pennatus,Booted Eagle,Aigle botté,,,,,pas de son,Milieu forestier,Milieu agricole
Pyrrhula pyrrhula,Eurasian Bullfinch,Bouvreuil pivoine,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBouvreuil%20pivoine.mp3?alt=media&token=58090830-6a86-4a48-bc7b-e4e268cb4e49,song,D,,a verifier,Milieu forestier,Milieu agricole
Strix aluco,Tawny Owl,Chouette hulotte,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChouette%20hulotte.wav?alt=media&token=7386aca1-b8cd-4b07-975c-4dd610e2c27e,call,D,,retravailler l'audio,Milieu forestier,Milieu agricole
Cuculus canorus,Common Cuckoo,Coucou gris,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCoucou%20gris.mp3?alt=media&token=7b5a14de-e99e-4aca-8822-cfedad0df5a5,song,D,,,Milieu forestier,Milieu agricole
Ficedula parva,Red-breasted Flycatcher,Gobemouche nain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGobemouche%20nain.wav?alt=media&token=f7948315-c3df-4879-88b7-31cd4cc88922,song,D,,,Milieu forestier,Milieu agricole
Coccothraustes coccothraustes,Hawfinch,Gros-bec casse-noyaux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGros-bec%20casse-noyaux.mp3?alt=media&token=7bb76fc9-e3d1-4b9d-b15f-2dd5c8222463,call,D,,mouai,Milieu forestier,Milieu agricole
Asio otus,Long-eared Owl,Hibou moyen-duc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHibou%20moyen-duc.wav?alt=media&token=9d3437ca-c7ef-46cd-a858-f68e7c4b874d,call,D,,,Milieu forestier,Milieu agricole
Oriolus oriolus,Eurasian Golden Oriole,Loriot d'Europe,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLoriot%20d'Europe.mp3?alt=media&token=35f3b63f-a578-4914-ba53-81adeffeea97,song,D,,,Milieu forestier,Milieu agricole
Periparus ater,Coal Tit,Mésange noire,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20noire.wav?alt=media&token=de90b0e5-dba4-4d6f-83b5-592d5a1f1f06,song,D,,,Milieu forestier,Milieu agricole
Milvus milvus,Red Kite,Milan royal,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMilan%20royal.mp3?alt=media&token=067b4e20-5988-49a1-b693-362d4ba5f733,call,D,https://www.youtube.com/watch?v=K8o9ty1oxfU,besoin d'etre retrazvailler,Milieu forestier,Milieu agricole
Anthus richardi,Richard's Pipit,Pipit de Richard,,,,,J4AI PAS PAS GRAVE,Milieu forestier,Milieu agricole
Charadrius dubius,Little Ringed Plover,Pluvier petit-gravelot,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPluvier%20petit-gravelot.wav?alt=media&token=55db4df7-6ae2-469e-91f3-12b4e6a144c3,call,D,,,Milieu forestier,Milieu agricole
Erithacus rubecula,European Robin,Rouge-gorge familier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRouge-gorge%20familier%20song.mp3?alt=media&token=bb721e11-dd5e-4ea6-9d73-501682d3fac6,song,D,,,Milieu forestier,Milieu agricole
Egretta garzetta,Little Egret,Aigrette garzette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAigrette%20garzette.wav?alt=media&token=8e3edbc7-9acf-4d0d-9e20-2cc7d6ee857c,call,D,,peut etre retravailler pour etre parfait,Milieu humide,Milieu agricole
Gallinago gallinago,Common Snipe,Bécassine des marais,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9cassine%20des%20marais.mp3?alt=media&token=2b6ed290-584a-4cca-9942-9b709b4db193,call,D,,,Milieu humide,Milieu agricole
Branta ruficollis,Red-breasted Goose,Bernache à cou roux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBernache%20%C3%A0%20cou%20roux.wav?alt=media&token=f11ce8c3-d6f7-4e5b-8cf5-f23571131de2,call,D,,,Milieu humide,Milieu agricole
Cettia cetti,Cetti's Warbler,Bouscarle de Cetti,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBouscarle%20de%20Cetti%20bis.wav?alt=media&token=fc398f45-5684-4d8f-abda-22fc767d963a,call,D,,,Milieu humide,Milieu agricole
Emberiza schoeniclus,Common Reed Bunting,Bruant des roseaux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20des%20roseaux.wav?alt=media&token=38de693f-8318-4d8b-9e1b-c3bebd96dab0,song,D,,,Milieu humide,Milieu agricole
Circus aeruginosus,Western Marsh Harrier,Busard des roseaux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBusard%20des%20roseaux.mp3?alt=media&token=4bcb17ba-dd17-4a0c-b714-6c3b94d5c1d3,call,D,https://youtu.be/6Q__mTm8778,,Milieu humide,Milieu agricole
Grus grus,Common Crane,Grue cendrée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrue%20cendr%C3%A9e.wav?alt=media&token=a882b5b7-a9d6-446b-b661-1b3f1ca38dd6,call,D,,,Milieu humide,Milieu agricole
Ardea cinerea,Grey Heron,Héron cendré,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FH%C3%A9ron%20cendr%C3%A9.wav?alt=media&token=37a80191-7390-4720-b6e3-ee970ae56dff,call,D,,,Milieu humide,Milieu agricole
Ardea purpurea,Purple Heron,Héron pourpré,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FH%C3%A9ron%20pourpr%C3%A9.wav?alt=media&token=cbe86764-0fcb-4cc3-829f-a649e8425737,call,D,,,Milieu humide,Milieu agricole
Burhinus oedicnemus,Eurasian Stone-curlew,Œdicnème criard,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C5%92dicn%C3%A8me%20criard.mp3?alt=media&token=b6de2c39-7585-4379-a7ce-bcd7707b7328,call,D,https://www.youtube.com/watch?v=CEI03cp277A,,Milieu humide,Milieu agricole
Anser anser,Greylag Goose,Oie cendrée,,,D,,pareil qure oie cendre donc a voir,Milieu humide,Milieu agricole
Anser serrirostris,Tundra Bean Goose,Oie de la toundra,,,,,J'AI PAS PAS GRAVE,Milieu humide,Milieu agricole
Anthus trivialis,Tree Pipit,Pipit des arbres,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPipit%20des%20arbres.wav?alt=media&token=9fe7dda4-9b54-493c-8769-c022cd10904b,song,D,,,Milieu humide,Milieu agricole
Troglodytes troglodytes,Eurasian Wren,Troglodyte mignon,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTroglodyte%20mignon.mp3?alt=media&token=d7679a42-c218-4c67-824e-5733024039b7,song,D,,,Milieu humide,Milieu agricole
Larus canus,Common Gull,Goéland cendré,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20cendr%C3%A9.wav?alt=media&token=f364de55-2665-4130-b026-8247f1371c63,call,D,,,Milieu littoral,Milieu agricole
Chroicocephalus ridibundus,Black-headed Gull,Mouette rieuse,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMouette%20rieuse.wav?alt=media&token=486351ec-e71c-4c92-9ead-2b687734c569,Call,D,,,Milieu littoral,Milieu agricole
Emberiza cia,Rock Bunting,Bruant fou,,,,,a chercher,Milieu montagnard,Milieu agricole
Circaetus gallicus,Short-toed Snake Eagle,Circaète Jean-le-Blanc,,,,,J'AI PAS PAS GRAVE,Milieu montagnard,Milieu agricole
Turdus pilaris,Fieldfare,Grive litorne,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrive%20litorne.wav?alt=media&token=eaad82a6-06ea-43be-8b1b-5ec06b286ac6,call alarm,D,,,Milieu montagnard,Milieu agricole
Turdus torquatus,Ring Ouzel,Merle à plastron,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMerle%20%C3%A0%20plastron.wav?alt=media&token=f07a557c-2082-4f59-88ed-5a228c341cc9,song,D,,,Milieu montagnard,Milieu agricole
Streptopelia decaocto,Eurasian Collared Dove,Tourterelle turque,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTourterelle%20turque.wav?alt=media&token=eb0628ec-0725-4475-8b5d-5dca2c4a4424,song,D,,,Milieu montagnard,Milieu agricole
Vanellus vanellus,Northern Lapwing,Vanneau huppé,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FVanneau%20hupp%C3%A9.mp3?alt=media&token=ece2d3da-325b-41a9-bcc6-4029311d66ff,song,C,https://www.youtube.com/shorts/dPkaBbXoUTI,,Milieu montagnard,Milieu agricole
Motacilla alba,White Wagtail,Bergeronnette grise,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBergeronnette%20grise.mp3?alt=media&token=dbc970f7-c678-4605-adcb-198b04c6c378,song,D,,,Milieu urbain,Milieu agricole
Athene noctua,Little Owl,Chevêche d'Athéna,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChev%C3%AAche%20d'Ath%C3%A9na.mp3?alt=media&token=57e879bd-06ce-4551-9cac-3c239a07d79e,call,D,https://www.youtube.com/watch?v=XLgQtyx81UQ,,Milieu urbain,Milieu agricole
Coloeus monedula,Western Jackdaw,Choucas des tours,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChoucas%20des%20tours.mp3?alt=media&token=d8457a34-9201-4430-8201-52080a9307ca,call,C,https://www.youtube.com/watch?v=jigfsOcV-2g,,Milieu urbain,Milieu agricole
Corvus frugilegus,Rook,Corbeau freux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCorbeau%20freux.wav?alt=media&token=29378d92-176a-4f33-8e01-56e56661c268,call,D,,,Milieu urbain,Milieu agricole
Corvus corone,Carrion Crow,Corneille noire,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCorneille%20noire.wav?alt=media&token=68a33060-72c2-4b1d-b6fe-29da2616a1fb,Call,D,,,Milieu urbain,Milieu agricole
Tyto alba,Western Barn Owl,Effraie des clochers,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FEffraie%20des%20clochers.wav?alt=media&token=8bb7eeba-f698-4019-8cf3-f6801f222544,call,D,,,Milieu urbain,Milieu agricole
Sturnus vulgaris,Common Starling,Étourneau sansonnet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89tourneau%20sansonnet.wav?alt=media&token=3ebb8674-002e-400b-9f0e-c127b166c295,song,D,,,Milieu urbain,Milieu agricole
Turdus philomelos,Song Thrush,Grive musicienne,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrive%20musicienne.wav?alt=media&token=b06292e9-4de7-4536-b833-02b398c6badd,song,D,,,Milieu urbain,Milieu agricole
Apus apus,Common Swift,Martinet noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMartinet%20noir.wav?alt=media&token=52e8ea74-6db8-4b71-b905-0838e8d97b58,call,D,,,Milieu urbain,Milieu agricole
Passer domesticus,House Sparrow,Moineau domestique,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMoineau%20domestique.wav?alt=media&token=04910e7d-5238-434d-b33a-8bfa6181e242,call,D,,,Milieu urbain,Milieu agricole
Picus viridis,European Green Woodpecker,Pic vert,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20vert.wav?alt=media&token=377e93ab-8dde-4b4f-b556-a960d7278d26,song,D,,,Milieu urbain,Milieu agricole
Lanius excubitor,Great Grey Shrike,Pie-grièche grise,,call,D,,pas ouf le son,Milieu urbain,Milieu agricole
Columba oenas,Stock Dove,Pigeon colombin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPigeon%20colombin.mp3?alt=media&token=89d675fe-643d-4eae-97ef-0d4de51d6497,call,D,,,Milieu urbain,Milieu agricole
Phoenicurus phoenicurus,Common Redstart,Rougequeue à front blanc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRougequeue%20%C3%A0%20front%20blanc.wav?alt=media&token=7dd9034b-39ee-4156-be17-dafaf85b0afd,song,D,,,Milieu urbain,Milieu agricole
