Nom_scientifique,Nom_anglais,Nom_français,photo,Habitat_principal,Habitat_secondaire,LienURL,Lisence,droits,annotation,Type
Prunella collaris,Alpine Accentor,Accenteur alpin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FAccenteur%20alpin.jpg?alt=media&token=9b8029b8-791f-4024-8f89-690e39dd3461,Milieu montagnard,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAccenteur%20alpin.mp3?alt=media&token=db731ed8-4ebe-499f-8f29-5fbc2809a060,,,,call
Prunella modularis,Dunnock,Accenteur mouchet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FAccenteur%20mouchet.jpg?alt=media&token=b2ff0629-186f-48ea-88bb-ed704301e443,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAccenteur%20mouchet.wav?alt=media&token=857c3c5d-5a7f-43d5-96ae-662404d9c6bf,,,pas grave si je n'ai pas,call
Anthus godlewskii,Blyth's Pipit,Pipit de Godlewski,,Milieu agricole,,,,,pas de son,
Melopsittacus undulatus,Budgerigar,Perruche ondulée,,Milieu agricole,Milieu urbain,,,,,
Egretta garzetta,Little Egret,Aigrette garzette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FAigrette%20garzette.jpg?alt=media&token=3fb960e1-f959-4e0b-99ec-d85222a5fdf5,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAigrette%20garzette.wav?alt=media&token=db1b1f6e-e796-48e1-abd2-d443ce076676,,D,peut etre retravailler pour etre parfait,call
Thalassarche melanophris,Black-browed Albatross,Albatros à sourcils noirs,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FAlbatros%20%C3%A0%20sourcils%20noirs.jpg?alt=media&token=6b8453e6-5172-47f8-b4ae-6c6cb3022498,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlbatros%20%C3%A0%20sourcils%20noirs.wav?alt=media&token=59c8398f-9f47-4a4e-8eb6-68ff255f4c65,,D,,call
Melanocorypha calandra,Calandra Lark,Alouette calandre,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FAlouette%20calandre.jpg?alt=media&token=903e3542-2a8a-4e47-bd91-290e1594ad1f,Milieu agricole,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20calandre.wav?alt=media&token=7ac6bb8a-7968-4223-a21e-7154d8cbd490,,D,,song
Calandrella brachydactyla,Greater Short-toed Lark,Alouette calandrelle,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FAlouette%20calandrelle.jpg?alt=media&token=2f403ad7-2d9f-4a6e-85d7-c4feb3321dfd,Milieu agricole,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20calandrelle.wav?alt=media&token=9ce99208-a543-48f8-9412-d2f142abf0ee,,D,,song
Alauda arvensis,Eurasian Skylark,Alouette des champs,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FAlouette%20des%20champs.jpg?alt=media&token=2a432e54-a8be-4367-99ee-413e46dd4931,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20des%20champs.wav?alt=media&token=9348f678-d6d1-48a5-8de8-9bbacfdc9472,,D,,song
Eremophila alpestris,Horned Lark,Alouette hausse-col,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FAlouette%20hausse-col.jpg?alt=media&token=8b04f963-6ad2-46b7-854b-9f32f8721bf1,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20hausse-col.wav?alt=media&token=80e0d8a2-63b1-4fad-9eb9-58321264889a,,D,,song
Accipiter gentilis,Northern Goshawk,Autour des palombes,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FAutour%20des%20palombes.jpg?alt=media&token=08c829fe-6f01-4b2e-8339-6fc6beafc8b6,Milieu forestier,Milieu montagnard,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAutour%20des%20palombes.mp3?alt=media&token=ca7da22a-3fcf-43d7-8f56-e863332b836c,https://www.youtube.com/watch?v=CichoNAcHPc,C,,call
